update_date,province_name_en,city_name_en,cum_confirmed,cum_cured,cum_dead,new_confirmed,new_cured,new_dead,update_time
2020-01-25,Jilin,Songyuan,1,0,0,0.0,0.0,0.0,2020-01-25 11:26:40.984
2020-01-25,Jilin,Changchun,1,0,0,0.0,0.0,0.0,2020-01-25 11:26:40.984
2020-01-25,Sichuan,Neijiang,1,0,0,,,,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Guang_an,2,0,0,0.0,0.0,0.0,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Deyang,1,0,0,0.0,0.0,0.0,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Chengdu,16,0,0,9.0,0.0,0.0,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Luzhou,1,0,0,,,,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Mianyang,2,0,0,0.0,0.0,0.0,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Zigong,1,0,0,,,,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Dazhou,1,0,0,0.0,0.0,0.0,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Suining,2,0,0,1.0,0.0,0.0,2020-01-25 12:49:31.823
2020-01-25,Sichuan,Yaan,1,0,0,0.0,0.0,0.0,2020-01-25 12:49:31.823
2020-01-25,Ningxia,Zhongwei,1,0,0,0.0,0.0,0.0,2020-01-25 12:47:30.511
2020-01-25,Ningxia,Guyuan,1,0,0,,,,2020-01-25 12:47:30.511
2020-01-25,Ningxia,Yinchuan,1,0,0,0.0,0.0,0.0,2020-01-25 12:47:30.511
2020-01-25,Anhui,Haozhou,4,0,0,3.0,0.0,0.0,2020-01-25 11:01:25.954
2020-01-25,Anhui,Liuan,2,0,0,0.0,0.0,0.0,2020-01-25 11:01:25.954
2020-01-25,Anhui,Hefei,10,0,0,4.0,0.0,0.0,2020-01-25 11:01:25.954
2020-01-25,Anhui,Anqing,4,0,0,3.0,0.0,0.0,2020-01-25 11:01:25.954
2020-01-25,Anhui,Chizhou,1,0,0,0.0,0.0,0.0,2020-01-25 11:01:25.954
2020-01-25,Anhui,Chuzhou,2,0,0,1.0,0.0,0.0,2020-01-25 11:01:25.954
2020-01-25,Anhui,Wuhu,1,0,0,,,,2020-01-25 11:01:25.954
2020-01-25,Anhui,Bengbu,1,0,0,0.0,0.0,0.0,2020-01-25 11:01:25.954
2020-01-25,Anhui,Tongling,3,0,0,,,,2020-01-25 11:01:25.954
2020-01-25,Anhui,Fuyang,7,0,0,5.0,0.0,0.0,2020-01-25 11:01:25.954
2020-01-25,Anhui,Maanshan,4,0,0,,,,2020-01-25 11:01:25.954
2020-01-25,Shandong,Linqi,3,0,0,1.0,0.0,0.0,2020-01-25 15:15:01.322
2020-01-25,Shandong,Weihai,3,0,0,1.0,0.0,0.0,2020-01-25 15:15:01.322
2020-01-25,Shandong,Dezhou,1,0,0,,,,2020-01-25 15:15:01.322
2020-01-25,Shandong,Rizhao,3,0,0,2.0,0.0,0.0,2020-01-25 15:15:01.322
2020-01-25,Shandong,Ji_nan,3,0,0,1.0,0.0,0.0,2020-01-25 15:15:01.322
2020-01-25,Shandong,Ji_ning,2,0,0,1.0,0.0,0.0,2020-01-25 15:15:01.322
2020-01-25,Shandong,Binzhou,1,0,0,,,,2020-01-25 15:15:01.322
2020-01-25,Shandong,Weifang,1,0,0,0.0,0.0,0.0,2020-01-25 15:15:01.322
2020-01-25,Shandong,Yantai,2,0,0,0.0,0.0,0.0,2020-01-25 15:15:01.322
2020-01-25,Shandong,Liaocheng,1,0,0,,,,2020-01-25 15:15:01.322
2020-01-25,Shandong,Heze,1,0,0,,,,2020-01-25 15:15:01.322
2020-01-25,Shandong,Qingdao,6,0,0,2.0,0.0,0.0,2020-01-25 15:15:01.322
2020-01-25,Shanxi,Datong,1,0,0,,,,2020-01-25 08:29:11.753
2020-01-25,Shanxi,Taiyuan,2,0,0,1.0,0.0,0.0,2020-01-25 08:29:11.753
2020-01-25,Shanxi,Yuncheng,2,0,0,,,,2020-01-25 08:29:11.753
2020-01-25,Shanxi,Changzhi,1,0,0,,,,2020-01-25 08:29:11.753
2020-01-25,Guangdong,Dongguan,1,0,0,,,,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Zhongshan,2,0,0,0.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Foshan,9,0,0,2.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Guangzhou,14,0,0,7.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Huizhou,7,0,0,2.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Shantou,1,0,0,,,,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Shenzhen,20,2,0,5.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Qingyuan,2,0,0,1.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Zhanjiang,2,0,0,0.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Zhuhai,10,0,0,2.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Zhaoqing,2,0,0,1.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Yangjiang,5,0,0,2.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangdong,Shaoguan,3,0,0,0.0,0.0,0.0,2020-01-25 10:56:23.314
2020-01-25,Guangxi,Beihai,6,0,0,0.0,0.0,0.0,2020-01-25 01:29:06.512
2020-01-25,Guangxi,Liuzhou,3,0,0,1.0,0.0,0.0,2020-01-25 01:29:06.512
2020-01-25,Guangxi,Guilin,6,0,0,4.0,0.0,0.0,2020-01-25 01:29:06.512
2020-01-25,Guangxi,Wuzhou,1,0,0,0.0,0.0,0.0,2020-01-25 01:29:06.512
2020-01-25,Guangxi,Hechi,3,0,0,2.0,0.0,0.0,2020-01-25 01:29:06.512
2020-01-25,Guangxi,Yulin,1,0,0,,,,2020-01-25 01:29:06.512
2020-01-25,Guangxi,Baise,1,0,0,0.0,0.0,0.0,2020-01-25 01:29:06.512
2020-01-25,Guangxi,Fangchenggang,2,0,0,,,,2020-01-25 01:29:06.512
2020-01-25,Xinjiang,Wulumuqi,3,0,0,,,,2020-01-25 11:32:44.877
2020-01-25,Jiangsu,Nanjing,4,0,0,1.0,0.0,0.0,2020-01-25 11:29:42.929
2020-01-25,Jiangsu,Nantong,1,0,0,0.0,0.0,0.0,2020-01-25 11:29:42.929
2020-01-25,Jiangsu,Suqian,1,0,0,,,,2020-01-25 11:29:42.929
2020-01-25,Jiangsu,Changzhou,5,0,0,,,,2020-01-25 11:29:42.929
2020-01-25,Jiangsu,Yangzhou,1,0,0,0.0,0.0,0.0,2020-01-25 11:29:42.929
2020-01-25,Jiangsu,Wuxi,1,0,0,0.0,0.0,0.0,2020-01-25 11:29:42.929
2020-01-25,Jiangsu,Yancheng,1,0,0,,,,2020-01-25 11:29:42.929
2020-01-25,Jiangsu,Suzhou,3,1,0,1.0,1.0,0.0,2020-01-25 11:29:42.929
2020-01-25,Jiangsu,Lianyungang,1,0,0,0.0,0.0,0.0,2020-01-25 11:29:42.929
2020-01-25,Jiangxi,Shangrao,2,0,0,,,,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Jiujiang,2,0,0,1.0,0.0,0.0,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Nanchang,3,0,0,1.0,0.0,0.0,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Ji_an,1,0,0,0.0,0.0,0.0,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Yichun,1,0,0,,,,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Fu3zhou,4,0,0,3.0,0.0,0.0,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Xinyu,1,0,0,0.0,0.0,0.0,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Jingdezhen,1,0,0,,,,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Pingxiang,1,0,0,0.0,0.0,0.0,2020-01-25 01:41:12.983
2020-01-25,Jiangxi,Ganzhou,2,0,0,,,,2020-01-25 01:41:12.983
2020-01-25,Hebei,Baoding,1,0,0,,,,2020-01-25 11:19:36.648
